,index,Team,Group,rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date
0,24,Brazil,G,1,Brazil,BRA,1841.3,1837.56,0,CONMEBOL,2022-10-06
1,20,Belgium,F,2,Belgium,BEL,1816.71,1821.92,0,UEFA,2022-10-06
2,8,Argentina,C,3,Argentina,ARG,1773.88,1770.65,0,CONMEBOL,2022-10-06
3,12,France,D,4,France,FRA,1759.78,1764.85,0,UEFA,2022-10-06
4,4,England,B,5,England,ENG,1728.47,1737.46,0,UEFA,2022-10-06
5,16,Spain,E,7,Spain,ESP,1715.22,1716.93,1,UEFA,2022-10-06
6,3,Netherlands,A,8,Netherlands,NED,1694.51,1679.41,0,UEFA,2022-10-06
7,28,Portugal,H,9,Portugal,POR,1676.56,1678.65,0,UEFA,2022-10-06
8,14,Denmark,D,10,Denmark,DEN,1666.57,1665.47,0,UEFA,2022-10-06
9,18,Germany,E,11,Germany,GER,1650.21,1658.96,0,UEFA,2022-10-06
10,23,Croatia,F,12,Croatia,CRO,1645.64,1632.15,-3,UEFA,2022-10-06
11,10,Mexico,C,13,Mexico,MEX,1644.89,1649.57,1,CONCACAF,2022-10-06
12,30,Uruguay,H,14,Uruguay,URU,1638.71,1640.95,1,CONMEBOL,2022-10-06
13,26,Switzerland,G,15,Switzerland,SUI,1635.92,1621.43,-1,UEFA,2022-10-06
14,6,USA,B,16,USA,USA,1627.48,1635.01,2,CONCACAF,2022-10-06
15,2,Senegal,A,18,Senegal,SEN,1584.38,1584.59,0,CAF,2022-10-06
16,7,Wales,B,19,Wales,WAL,1569.82,1582.13,0,UEFA,2022-10-06
17,5,IR Iran,B,20,IR Iran,IRN,1564.61,1558.64,-2,AFC,2022-10-06
18,25,Serbia,G,21,Serbia,SRB,1563.62,1549.53,-4,UEFA,2022-10-06
19,22,Morocco,F,22,Morocco,MAR,1563.5,1558.35,-1,CAF,2022-10-06
20,19,Japan,E,24,Japan,JPN,1559.54,1554.69,0,AFC,2022-10-06
21,11,Poland,C,26,Poland,POL,1548.59,1546.18,0,UEFA,2022-10-06
22,31,Korea Republic,H,28,Korea Republic,KOR,1530.3,1526.02,0,AFC,2022-10-06
23,15,Tunisia,D,30,Tunisia,TUN,1507.54,1507.86,0,CAF,2022-10-06
24,17,Costa Rica,E,31,Costa Rica,CRC,1503.59,1500.06,-3,CONCACAF,2022-10-06
25,13,Australia,D,38,Australia,AUS,1488.72,1483.73,-1,AFC,2022-10-06
26,21,Canada,F,41,Canada,CAN,1475.0,1473.82,-2,CONCACAF,2022-10-06
27,27,Cameroon,G,43,Cameroon,CMR,1471.44,1484.95,5,CAF,2022-10-06
28,1,Ecuador,A,44,Ecuador,ECU,1464.39,1463.74,0,CONMEBOL,2022-10-06
29,0,Qatar,A,50,Qatar,QAT,1439.89,1441.97,2,AFC,2022-10-06
30,9,Saudi Arabia,C,51,Saudi Arabia,KSA,1437.78,1435.74,-2,AFC,2022-10-06
31,29,Ghana,H,61,Ghana,GHA,1393.0,1393.47,1,CAF,2022-10-06
